"ensembl_gene_id","logFC","logCPM","PValue","FDR"
"ENSG00000000003",-0.200032603082144,4.01510244735005,0.276638916895717,0.536918707585421
"ENSG00000000005",-0.492865851084296,0.868402192307444,0.203145424368124,0.456293555303632
"ENSG00000000419",-0.262671083012199,3.38876779261974,0.037009667878195,0.174569428056203
"ENSG00000000457",-0.0670659512964306,4.41953568563094,0.465097926333169,0.698969284641705
"ENSG00000000460",0.206106812585152,3.90840570278818,0.0724349578868644,0.256972760150963
"ENSG00000000938",0.997579940727115,2.54604101191741,0.0611471548440992,0.232405292098747
"ENSG00000000971",-0.47792902141805,4.4682728711903,0.246431300417,0.506874385308371
"ENSG00000001036",-0.419073882328362,4.0146081810176,0.00884827513841095,0.0734549855268937
"ENSG00000001084",-0.0274382506064245,4.46056439759546,0.799281729725709,0.907686606794473
"ENSG00000001167",0.0227257736038931,5.57750425934927,0.795040905033645,0.905426041706046
"ENSG00000001460",-0.00865154004994569,3.08268900545586,0.956101437747136,0.980301978866051
"ENSG00000001461",-0.288879212352604,5.61281505203592,0.0153008420453998,0.10371173147422
"ENSG00000001497",0.345343651628041,5.25447308176457,0.00444064406517459,0.0487611020968606
"ENSG00000001561",-0.220276017493819,3.36255309882573,0.431959057987469,0.672867382974357
"ENSG00000001617",0.305571634949376,4.99405122895423,0.101807094360292,0.311836493257736
"ENSG00000001626",0.124876606792465,0.863455053136315,0.826626120735234,0.921154283866548
"ENSG00000001629",0.0966568865462708,7.2793953896833,0.435133446309596,0.675483691509691
"ENSG00000001630",-0.1262666390269,1.05062074278152,0.56418483430628,0.7701112710112
"ENSG00000001631",0.0520338491996897,6.41266553043323,0.579982340678354,0.779639471387925
"ENSG00000002016",0.108263073980793,4.54920544060988,0.44251838149215,0.68182446723257
"ENSG00000002079",-0.275725821117951,0.00155751448607764,0.547235825908126,0.759779895600373
"ENSG00000002330",0.100493322099011,2.97650364083649,0.502181368632528,0.727043880201364
"ENSG00000002549",0.202370919174647,4.31352295606356,0.0887018364072877,0.289202621732277
"ENSG00000002586",-0.0534416543301542,6.22827613851429,0.641860372121384,0.820016013024648
"ENSG00000002587",-1.83598984859196,2.15094016795032,4.65240382081901e-08,2.2218084983599e-05
"ENSG00000002726",-0.748462148314492,-0.597101118609893,0.242359367849454,0.502322415353917
"ENSG00000002745",-0.611997109403671,3.76359444328443,0.127925043370391,0.353563570472679
"ENSG00000002746",-0.947666320063604,2.74636075671825,0.00775118249213963,0.0679499277784463
"ENSG00000002822",0.205920087352525,4.67756072011696,0.156360902486863,0.395612651205732
"ENSG00000002834",-0.195531391145593,6.82504911648446,0.0809609772552392,0.274756005264029
"ENSG00000002919",0.00388604339917103,3.43572915111871,0.974971303386938,0.989155682432564
"ENSG00000002933",0.0159490862259679,0.960019421382893,0.959776912059607,0.98174084334791
"ENSG00000003056",0.0425421443929872,4.83178785375765,0.691341984077846,0.848905500924941
"ENSG00000003096",0.16715638223512,3.01316373296712,0.545946975459723,0.759116443734439
"ENSG00000003137",-0.104583621398644,5.74870290680553,0.562645258738527,0.769337488639364
"ENSG00000003147",-0.983061483007023,3.88511538837452,8.12363920246303e-05,0.0038060857612779
"ENSG00000003249",0.669617310952912,3.40483330822809,0.0337046530364264,0.1652213866927
"ENSG00000003393",0.234727299605303,5.9376588799049,0.00382395225306605,0.0445407806079208
"ENSG00000003400",-0.213091017585929,3.32918639725003,0.390766763592095,0.639208104785796
"ENSG00000003402",0.506833650666634,8.03663512239834,2.74731889850944e-07,8.69590322515411e-05
"ENSG00000003436",-0.0851783137298829,3.65776675813522,0.763191660260361,0.887870143455278
"ENSG00000003509",0.246294311527573,4.77006794898425,0.00749815479095303,0.0664844532783493
"ENSG00000003756",-0.0356447573449876,8.1653015581773,0.712248625653865,0.860852492626049
"ENSG00000003987",1.34224684468759,0.568609521896894,0.00253177227742789,0.034338501825543
"ENSG00000003989",-0.22127065441685,3.39819113167053,0.521779823402065,0.742598592980334
"ENSG00000004059",0.0297678669729819,3.82333014846487,0.832571898414881,0.924585494727132
"ENSG00000004139",0.131118329807199,5.15466706322604,0.377852707654315,0.62739591039759
"ENSG00000004142",0.128016554532471,5.03826729168629,0.194774551282119,0.446405494691467
"ENSG00000004399",-0.186842321133335,6.97513718288138,0.30958542365442,0.568677023908291
"ENSG00000004455",-0.0114073689379644,6.13925125581462,0.899060850342543,0.955914983484664
