ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,marker_role
ENSG00000026025,1976.6657122883273,-0.11332662753837146,0.210894036545551,-0.5373628832501105,0.5910169765090311,0.8116180629008352,VIM,metastasis_EMT
ENSG00000039068,170.30161400901196,0.17126034929790915,0.47806701415523467,0.3582350261093284,0.7201674372003377,0.8806415525065519,CDH1,metastasis_epithelial
ENSG00000111057,36.040404937073966,0.9485290490227484,0.5148610923331944,1.8423008907592966,0.06543114956002222,0.26185995147683133,KRT18,metastasis_epithelial
ENSG00000124216,11.240732861321465,0.1595726024151955,0.32180188723602415,0.49587217708937076,0.619984597300292,0.8281147206316206,SNAI1,metastasis_EMT
ENSG00000126752,54.278490704246344,-0.1553872749230888,0.632724532150176,-0.2455844005210911,0.8060039660595597,0.9229642278254079,SSX1,SS_marker
ENSG00000131747,318.49790732882406,0.6380181004265469,0.2510563052907916,2.541334700546748,0.011043014980406442,0.09784407415596533,TOP2A,metastasis_prolif
ENSG00000141380,656.1828044023599,0.05976064069513819,0.08429317664527165,0.7089617816472504,0.47834819397025174,0.7369631450589029,SS18,SS_marker
ENSG00000148516,562.1810699002506,-0.33645361901361354,0.15998166702898708,-2.103076091541486,0.035459118530466745,0.1869151710420012,ZEB1,metastasis_EMT
ENSG00000148773,469.7700693209502,0.5863680061050046,0.24466174493517476,2.3966476911229746,0.01654582396079105,0.12263701700233648,MKI67,metastasis_prolif
ENSG00000170421,70.02548487605115,0.5877978196315604,0.5052541984996495,1.1633704803978353,0.24467922106790807,0.5333939903520675,KRT8,metastasis_epithelial
ENSG00000171791,635.9655287952872,0.3414866947516181,0.1803939497694981,1.8930052542668938,0.05835717072936764,0.24610536511297462,BCL2,SS_marker
ENSG00000172818,21.313486248397457,0.3590184174737884,0.5592756502922978,0.6419346475859485,0.5209156166636341,0.7667618931018144,OVOL1,paper_named
ENSG00000196781,1377.2725263046075,0.44007980254370177,0.1564469061724217,2.812965838127124,0.004908686578741112,0.060116961321249246,TLE1,SS_marker
ENSG00000241476,10.774664965044034,-0.5215852296429383,0.7080250390318994,-0.7366762485633489,0.461319253992869,0.7256015761606981,SSX2,SS_marker
